商品番号,商品名,宅配サイズ,内寸,外形三辺合計,厚み,形式,パレット配置,価格,URL
MA140-207,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（634×434×208mm）3mm B/F C5×C5,宅配140サイズ,634×434×208mm,140cm,3mm B/F,C5×C5,1段4箱×8段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-207
MAS140-097,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（634×214×348mm）3mm B/F 白C5×C5,宅配140サイズ,634×214×348mm,140cm,3mm B/F,C5×C5,1段8箱×5段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS140-097
MAS120-057,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（630×210×280mm）5mm A/F 白C5×C5,宅配120サイズ,630×210×280mm,120cm,5mm A/F,C5×C5,1段8箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS120-057
MA120-161,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（634×214×208mm）3mm B/F C5×C5,宅配120サイズ,634×214×208mm,120cm,3mm B/F,C5×C5,1段8箱×8段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-161
MA140-231,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（624×444×238mm）3mm B/F C5×C5,宅配140サイズ,624×444×238mm,140cm,3mm B/F,C5×C5,1段4箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-231
MAS140-101,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（624×444×238mm）3mm B/F 白C5×C5,宅配140サイズ,624×444×238mm,140cm,3mm B/F,C5×C5,1段4箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS140-101
MAS140-102,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（620×440×200mm）5mm A/F 白C5×C5,宅配140サイズ,620×440×200mm,140cm,5mm A/F,C5×C5,1段4箱×8段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS140-102
MA140-243,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（624×444×168mm）3mm B/F C5×C5,宅配140サイズ,624×444×168mm,140cm,3mm B/F,C5×C5,1段4箱×10段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-243
MAS140-121,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（614×454×168mm）3mm B/F 白C5×C5,宅配140サイズ,614×454×168mm,140cm,3mm B/F,C5×C5,1段4箱×10段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS140-121
MAS120-089,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（590×230×280mm）5mm A/F 白C5×C5,宅配120サイズ,590×230×280mm,120cm,5mm A/F,C5×C5,1段8箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS120-089
MA120-219,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（590×230×280mm）5mm A/F K6×強化芯180g×K6,宅配120サイズ,590×230×280mm,120cm,5mm A/F,K6×強化芯180g×K6,1段8箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-219
