商品番号,商品名,宅配サイズ,内寸,外形三辺合計,厚み,形式,パレット配置,価格,URL
MAS140-096,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（630×210×340mm）5mm A/F 白C5×C5,宅配140サイズ,630×210×340mm,140cm,5mm A/F,C5×C5,1段8箱×5段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS140-096
MA140-225,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（630×210×340mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,630×210×340mm,140cm,5mm A/F,K6×強化芯180g×K6,1段8箱×5段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-225
MA140-226,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（624×204×328mm）8mm W/F C5×C5,宅配140サイズ,624×204×328mm,140cm,8mm W/F,C5×C5,1段8箱×5段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA140-226
MA120-153,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（634×214×288mm）3mm B/F C5×C5,宅配120サイズ,634×214×288mm,120cm,3mm B/F,C5×C5,1段8箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-153
MA120-154,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（630×210×280mm）5mm A/F K5×K5,宅配120サイズ,630×210×280mm,120cm,5mm A/F,K5×K5,1段8箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-154
MAS120-058,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（634×214×288mm）3mm B/F 白C5×C5,宅配120サイズ,634×214×288mm,120cm,3mm B/F,C5×C5,1段8箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MAS120-058
MA120-155,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（630×210×280mm）5mm A/F K6×強化芯180g×K6,宅配120サイズ,630×210×280mm,120cm,5mm A/F,K6×強化芯180g×K6,1段8箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-155
MA120-156,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（624×204×268mm）8mm W/F C5×C5,宅配120サイズ,624×204×268mm,120cm,8mm W/F,C5×C5,1段8箱×6段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-156
MA120-157,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（634×214×238mm）3mm B/F C5×C5,宅配120サイズ,634×214×238mm,120cm,3mm B/F,C5×C5,1段8箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-157
MA120-158,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（630×210×230mm）5mm A/F K5×K5,宅配120サイズ,630×210×230mm,120cm,5mm A/F,K5×K5,1段8箱×7段,"7 円",https://www.notosiki.co.jp/item/detail?num=MA120-158
MAS120-059,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（630×210×230mm）5mm A/F 白C5×C5,宅配120サイズ,630×210×230mm,120cm,5mm A/F,C5×C5,1段8箱×7段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS120-059
MAS120-060,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（634×214×238mm）3mm B/F 白C5×C5,宅配120サイズ,634×214×238mm,120cm,3mm B/F,C5×C5,1段8箱×7段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS120-060
MA120-159,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（630×210×230mm）5mm A/F K6×強化芯180g×K6,宅配120サイズ,630×210×230mm,120cm,5mm A/F,K6×強化芯180g×K6,1段8箱×7段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-159
MA120-160,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（624×204×218mm）8mm W/F C5×C5,宅配120サイズ,624×204×218mm,120cm,8mm W/F,C5×C5,1段8箱×7段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-160
MA120-162,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（630×210×200mm）5mm A/F K5×K5,宅配120サイズ,630×210×200mm,120cm,5mm A/F,K5×K5,1段8箱×8段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-162
MAS120-061,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（630×210×200mm）5mm A/F 白C5×C5,宅配120サイズ,630×210×200mm,120cm,5mm A/F,C5×C5,1段8箱×8段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS120-061
MAS120-062,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（634×214×208mm）3mm B/F 白C5×C5,宅配120サイズ,634×214×208mm,120cm,3mm B/F,C5×C5,1段8箱×8段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS120-062
MA120-163,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（630×210×200mm）5mm A/F K6×強化芯180g×K6,宅配120サイズ,630×210×200mm,120cm,5mm A/F,K6×強化芯180g×K6,1段8箱×8段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-163
MA120-164,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（624×204×188mm）8mm W/F C5×C5,宅配120サイズ,624×204×188mm,120cm,8mm W/F,C5×C5,1段8箱×8段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-164
MA120-165,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（634×214×188mm）3mm B/F C5×C5,宅配120サイズ,634×214×188mm,120cm,3mm B/F,C5×C5,1段8箱×9段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-165
MA120-166,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（630×210×180mm）5mm A/F K5×K5,宅配120サイズ,630×210×180mm,120cm,5mm A/F,K5×K5,1段8箱×9段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-166
MAS120-063,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（630×210×180mm）5mm A/F 白C5×C5,宅配120サイズ,630×210×180mm,120cm,5mm A/F,C5×C5,1段8箱×9段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS120-063
MAS120-064,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（634×214×188mm）3mm B/F 白C5×C5,宅配120サイズ,634×214×188mm,120cm,3mm B/F,C5×C5,1段8箱×9段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS120-064
MA120-167,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（630×210×180mm）5mm A/F K6×強化芯180g×K6,宅配120サイズ,630×210×180mm,120cm,5mm A/F,K6×強化芯180g×K6,1段8箱×9段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-167
MA120-168,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（624×204×168mm）8mm W/F C5×C5,宅配120サイズ,624×204×168mm,120cm,8mm W/F,C5×C5,1段8箱×9段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-168
MA120-169,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×10段］（634×214×168mm）3mm B/F C5×C5,宅配120サイズ,634×214×168mm,120cm,3mm B/F,C5×C5,1段8箱×10段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-169
MA120-170,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×10段］（630×210×160mm）5mm A/F K5×K5,宅配120サイズ,630×210×160mm,120cm,5mm A/F,K5×K5,1段8箱×10段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-170
MAS120-065,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×10段］（630×210×160mm）5mm A/F 白C5×C5,宅配120サイズ,630×210×160mm,120cm,5mm A/F,C5×C5,1段8箱×10段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS120-065
MAS120-066,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×10段］（634×214×168mm）3mm B/F 白C5×C5,宅配120サイズ,634×214×168mm,120cm,3mm B/F,C5×C5,1段8箱×10段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS120-066
MA120-171,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×10段］（630×210×160mm）5mm A/F K6×強化芯180g×K6,宅配120サイズ,630×210×160mm,120cm,5mm A/F,K6×強化芯180g×K6,1段8箱×10段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-171
MA120-172,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×10段］（624×204×148mm）8mm W/F C5×C5,宅配120サイズ,624×204×148mm,120cm,8mm W/F,C5×C5,1段8箱×10段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-172
MA140-227,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（624×444×288mm）3mm B/F C5×C5,宅配140サイズ,624×444×288mm,140cm,3mm B/F,C5×C5,1段4箱×6段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-227
MA140-228,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（620×440×280mm）5mm A/F K5×K5,宅配140サイズ,620×440×280mm,140cm,5mm A/F,K5×K5,1段4箱×6段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-228
MAS140-098,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（620×440×280mm）5mm A/F 白C5×C5,宅配140サイズ,620×440×280mm,140cm,5mm A/F,C5×C5,1段4箱×6段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS140-098
MAS140-099,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（624×444×288mm）3mm B/F 白C5×C5,宅配140サイズ,624×444×288mm,140cm,3mm B/F,C5×C5,1段4箱×6段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS140-099
MA140-229,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（620×440×280mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,620×440×280mm,140cm,5mm A/F,K6×強化芯180g×K6,1段4箱×6段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-229
MA140-230,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×6段］（614×434×268mm）8mm W/F C5×C5,宅配140サイズ,614×434×268mm,140cm,8mm W/F,C5×C5,1段4箱×6段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-230
MA140-232,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（620×440×230mm）5mm A/F K5×K5,宅配140サイズ,620×440×230mm,140cm,5mm A/F,K5×K5,1段4箱×7段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-232
MAS140-100,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（620×440×230mm）5mm A/F 白C5×C5,宅配140サイズ,620×440×230mm,140cm,5mm A/F,C5×C5,1段4箱×7段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS140-100
MA140-233,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（620×440×230mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,620×440×230mm,140cm,5mm A/F,K6×強化芯180g×K6,1段4箱×7段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-233
MA140-234,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×7段］（614×434×218mm）8mm W/F C5×C5,宅配140サイズ,614×434×218mm,140cm,8mm W/F,C5×C5,1段4箱×7段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-234
MA140-235,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（624×444×208mm）3mm B/F C5×C5,宅配140サイズ,624×444×208mm,140cm,3mm B/F,C5×C5,1段4箱×8段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-235
MA140-236,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（620×440×200mm）5mm A/F K5×K5,宅配140サイズ,620×440×200mm,140cm,5mm A/F,K5×K5,1段4箱×8段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-236
MAS140-103,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（624×444×208mm）3mm B/F 白C5×C5,宅配140サイズ,624×444×208mm,140cm,3mm B/F,C5×C5,1段4箱×8段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS140-103
MA140-237,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（620×440×200mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,620×440×200mm,140cm,5mm A/F,K6×強化芯180g×K6,1段4箱×8段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-237
MA140-238,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×8段］（614×434×188mm）8mm W/F C5×C5,宅配140サイズ,614×434×188mm,140cm,8mm W/F,C5×C5,1段4箱×8段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-238
MA140-239,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（624×444×188mm）3mm B/F C5×C5,宅配140サイズ,624×444×188mm,140cm,3mm B/F,C5×C5,1段4箱×9段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-239
MA140-240,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（620×440×180mm）5mm A/F K5×K5,宅配140サイズ,620×440×180mm,140cm,5mm A/F,K5×K5,1段4箱×9段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-240
MAS140-104,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（620×440×180mm）5mm A/F 白C5×C5,宅配140サイズ,620×440×180mm,140cm,5mm A/F,C5×C5,1段4箱×9段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS140-104
MAS140-105,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（624×444×188mm）3mm B/F 白C5×C5,宅配140サイズ,624×444×188mm,140cm,3mm B/F,C5×C5,1段4箱×9段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS140-105
MA140-241,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（620×440×180mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,620×440×180mm,140cm,5mm A/F,K6×強化芯180g×K6,1段4箱×9段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-241
MA140-242,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×9段］（614×434×168mm）8mm W/F C5×C5,宅配140サイズ,614×434×168mm,140cm,8mm W/F,C5×C5,1段4箱×9段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-242
MA140-244,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（620×440×160mm）5mm A/F K5×K5,宅配140サイズ,620×440×160mm,140cm,5mm A/F,K5×K5,1段4箱×10段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-244
MAS140-106,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（620×440×160mm）5mm A/F 白C5×C5,宅配140サイズ,620×440×160mm,140cm,5mm A/F,C5×C5,1段4箱×10段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS140-106
MAS140-107,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（624×444×168mm）3mm B/F 白C5×C5,宅配140サイズ,624×444×168mm,140cm,3mm B/F,C5×C5,1段4箱×10段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS140-107
MA140-245,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（620×440×160mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,620×440×160mm,140cm,5mm A/F,K6×強化芯180g×K6,1段4箱×10段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-245
MA140-246,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段4箱×10段］（614×434×148mm）8mm W/F C5×C5,宅配140サイズ,614×434×148mm,140cm,8mm W/F,C5×C5,1段4箱×10段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-246
MA140-247,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（624×214×438mm）3mm B/F C5×C5,宅配140サイズ,624×214×438mm,140cm,3mm B/F,C5×C5,1段8箱×4段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-247
MA140-248,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（620×210×430mm）5mm A/F K5×K5,宅配140サイズ,620×210×430mm,140cm,5mm A/F,K5×K5,1段8箱×4段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-248
MAS140-108,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（620×210×430mm）5mm A/F 白C5×C5,宅配140サイズ,620×210×430mm,140cm,5mm A/F,C5×C5,1段8箱×4段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS140-108
MAS140-109,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（624×214×438mm）3mm B/F 白C5×C5,宅配140サイズ,624×214×438mm,140cm,3mm B/F,C5×C5,1段8箱×4段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS140-109
MA140-249,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（620×210×430mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,620×210×430mm,140cm,5mm A/F,K6×強化芯180g×K6,1段8箱×4段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-249
MA140-250,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×4段］（614×204×418mm）8mm W/F C5×C5,宅配140サイズ,614×204×418mm,140cm,8mm W/F,C5×C5,1段8箱×4段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-250
MA140-251,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（624×214×348mm）3mm B/F C5×C5,宅配140サイズ,624×214×348mm,140cm,3mm B/F,C5×C5,1段8箱×5段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-251
MA140-252,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（620×210×340mm）5mm A/F K5×K5,宅配140サイズ,620×210×340mm,140cm,5mm A/F,K5×K5,1段8箱×5段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-252
MAS140-110,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（620×210×340mm）5mm A/F 白C5×C5,宅配140サイズ,620×210×340mm,140cm,5mm A/F,C5×C5,1段8箱×5段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS140-110
MAS140-111,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（624×214×348mm）3mm B/F 白C5×C5,宅配140サイズ,624×214×348mm,140cm,3mm B/F,C5×C5,1段8箱×5段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS140-111
MA140-253,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（620×210×340mm）5mm A/F K6×強化芯180g×K6,宅配140サイズ,620×210×340mm,140cm,5mm A/F,K6×強化芯180g×K6,1段8箱×5段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-253
MA140-254,【宅配140サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×5段］（614×204×328mm）8mm W/F C5×C5,宅配140サイズ,614×204×328mm,140cm,8mm W/F,C5×C5,1段8箱×5段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA140-254
MA120-173,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（624×214×288mm）3mm B/F C5×C5,宅配120サイズ,624×214×288mm,120cm,3mm B/F,C5×C5,1段8箱×6段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-173
MA120-174,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（620×210×280mm）5mm A/F K5×K5,宅配120サイズ,620×210×280mm,120cm,5mm A/F,K5×K5,1段8箱×6段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-174
MAS120-067,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（620×210×280mm）5mm A/F 白C5×C5,宅配120サイズ,620×210×280mm,120cm,5mm A/F,C5×C5,1段8箱×6段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS120-067
MAS120-068,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（624×214×288mm）3mm B/F 白C5×C5,宅配120サイズ,624×214×288mm,120cm,3mm B/F,C5×C5,1段8箱×6段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS120-068
MA120-175,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（620×210×280mm）5mm A/F K6×強化芯180g×K6,宅配120サイズ,620×210×280mm,120cm,5mm A/F,K6×強化芯180g×K6,1段8箱×6段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-175
MA120-176,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×6段］（614×204×268mm）8mm W/F C5×C5,宅配120サイズ,614×204×268mm,120cm,8mm W/F,C5×C5,1段8箱×6段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-176
MA120-177,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（624×214×238mm）3mm B/F C5×C5,宅配120サイズ,624×214×238mm,120cm,3mm B/F,C5×C5,1段8箱×7段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-177
MA120-178,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（620×210×230mm）5mm A/F K5×K5,宅配120サイズ,620×210×230mm,120cm,5mm A/F,K5×K5,1段8箱×7段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-178
MAS120-069,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（620×210×230mm）5mm A/F 白C5×C5,宅配120サイズ,620×210×230mm,120cm,5mm A/F,C5×C5,1段8箱×7段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS120-069
MAS120-070,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（624×214×238mm）3mm B/F 白C5×C5,宅配120サイズ,624×214×238mm,120cm,3mm B/F,C5×C5,1段8箱×7段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS120-070
MA120-179,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（620×210×230mm）5mm A/F K6×強化芯180g×K6,宅配120サイズ,620×210×230mm,120cm,5mm A/F,K6×強化芯180g×K6,1段8箱×7段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-179
MA120-180,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×7段］（614×204×218mm）8mm W/F C5×C5,宅配120サイズ,614×204×218mm,120cm,8mm W/F,C5×C5,1段8箱×7段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-180
MA120-181,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（624×214×208mm）3mm B/F C5×C5,宅配120サイズ,624×214×208mm,120cm,3mm B/F,C5×C5,1段8箱×8段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-181
MA120-182,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（620×210×200mm）5mm A/F K5×K5,宅配120サイズ,620×210×200mm,120cm,5mm A/F,K5×K5,1段8箱×8段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-182
MAS120-071,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（620×210×200mm）5mm A/F 白C5×C5,宅配120サイズ,620×210×200mm,120cm,5mm A/F,C5×C5,1段8箱×8段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS120-071
MAS120-072,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（624×214×208mm）3mm B/F 白C5×C5,宅配120サイズ,624×214×208mm,120cm,3mm B/F,C5×C5,1段8箱×8段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS120-072
MA120-183,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（620×210×200mm）5mm A/F K6×強化芯180g×K6,宅配120サイズ,620×210×200mm,120cm,5mm A/F,K6×強化芯180g×K6,1段8箱×8段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-183
MA120-184,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×8段］（614×204×188mm）8mm W/F C5×C5,宅配120サイズ,614×204×188mm,120cm,8mm W/F,C5×C5,1段8箱×8段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-184
MA120-185,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（624×214×188mm）3mm B/F C5×C5,宅配120サイズ,624×214×188mm,120cm,3mm B/F,C5×C5,1段8箱×9段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-185
MA120-186,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（620×210×180mm）5mm A/F K5×K5,宅配120サイズ,620×210×180mm,120cm,5mm A/F,K5×K5,1段8箱×9段,"3 円",https://www.notosiki.co.jp/item/detail?num=MA120-186
MAS120-073,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（620×210×180mm）5mm A/F 白C5×C5,宅配120サイズ,620×210×180mm,120cm,5mm A/F,C5×C5,1段8箱×9段,"3 円",https://www.notosiki.co.jp/item/detail?num=MAS120-073
MAS120-074,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（624×214×188mm）3mm B/F 白C5×C5,宅配120サイズ,624×214×188mm,120cm,3mm B/F,C5×C5,1段8箱×9段,"6 円",https://www.notosiki.co.jp/item/detail?num=MAS120-074
MA120-187,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（620×210×180mm）5mm A/F K6×強化芯180g×K6,宅配120サイズ,620×210×180mm,120cm,5mm A/F,K6×強化芯180g×K6,1段8箱×9段,"6 円",https://www.notosiki.co.jp/item/detail?num=MA120-187
MA120-188,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×9段］（614×204×168mm）8mm W/F C5×C5,宅配120サイズ,614×204×168mm,120cm,8mm W/F,C5×C5,1段8箱×9段,"6 円",https://www.notosiki.co.jp/item/detail?num=MA120-188
MA120-189,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×10段］（624×214×168mm）3mm B/F C5×C5,宅配120サイズ,624×214×168mm,120cm,3mm B/F,C5×C5,1段8箱×10段,"6 円",https://www.notosiki.co.jp/item/detail?num=MA120-189
MA120-190,【宅配120サイズ】1100×1100パレットぴったりサイズダンボール箱［1段8箱×10段］（620×210×160mm）5mm A/F K5×K5,宅配120サイズ,620×210×160mm,120cm,5mm A/F,K5×K5,1段8箱×10段,"6 円",https://www.notosiki.co.jp/item/detail?num=MA120-190
